,nazwa,okres,mln_EUR
898,ZYWIEC,2009-03,1299
899,BZWBK,2009-03,1058
900,HANDLOWY,2009-03,1037
901,CYFRPLSAT,2009-03,773
902,FORTISPL,2009-03,731
903,ASSECOPOL,2009-03,721
904,GTC,2009-03,691
905,DZPOLSKA,2009-03,674
906,BRE,2009-03,663
907,TVN,2009-03,634
908,GETIN,2009-03,608
909,INGBSK,2009-03,587
910,SWIECIE,2009-03,569
911,PBG,2009-03,546
912,STALPROD,2009-03,519
913,LOTOS,2009-03,400
914,BUDIMEX,2009-03,373
915,LPP,2009-03,356
916,KREDYTB,2009-03,350
917,CERSANIT,2009-03,334
918,MILLENNIUM,2009-03,325
919,ALCHEMIA,2009-03,298
920,POLIMEXMS,2009-03,295
921,ORBIS,2009-03,291
922,PULAWY,2009-03,285
923,EUROCASH,2009-03,259
924,NETIA,2009-03,256
925,CCC,2009-03,236
926,KRUSZWICA,2009-03,234
927,BOS,2009-03,224
928,KOFOLA,2009-03,223
929,NORDEABP,2009-03,223
930,ECHO,2009-03,219
931,TUEUROPA,2009-03,211
932,MMPPL,2009-03,208
933,HBPOLSKA,2009-03,204
934,MOSTALWAR,2009-03,204
935,KOGENERA,2009-03,197
936,BANKBPH,2009-03,179
937,KOPEX,2009-03,178
938,MENNICA,2009-03,167
939,AGORA,2009-03,155
940,SYNTHOS,2009-03,152
941,EMPERIA,2009-03,147
942,BIOTON,2009-03,143
943,CIECH,2009-03,143
944,HTLSTREFA,2009-03,142
945,NFIEMF,2009-03,136
946,NOBLEBANK,2009-03,136
947,TRAKCJA,2009-03,133
948,ELBUDOWA,2009-03,126
949,AMREST,2009-03,120
950,DOMDEV,2009-03,120
957,PEKAO,2009-04,7237
958,PKOBP,2009-04,6129
959,TPSA,2009-04,5387
960,PGNIG,2009-04,5182
961,KGHM,2009-04,2708
962,PKNORLEN,2009-04,2593
963,ENEA,2009-04,1600
964,HANDLOWY,2009-04,1556
965,BZWBK,2009-04,1478
966,ZYWIEC,2009-04,1414
967,BRE,2009-04,1021
968,ASSECOPOL,2009-04,936
969,GTC,2009-04,901
970,GETIN,2009-04,847
971,CYFRPLSAT,2009-04,844
972,FORTISPL,2009-04,830
973,INGBSK,2009-04,813
974,TVN,2009-04,775
